artist_id,debut_year,latest_year,total_works,notable_works,first_notoriety,last_notoriety,genre_diversity,notoriety_lag,career_span,is_performer,is_recent_debut,recent_notable_works,outbound_influence,years_since_notoriety,notoriety_recency_score,collab_with_popular_count,recent_collab_count,collab_growth_rate,recent_inbound_influence,genre_alignment_score,prestige_label_count,prestige_group_count,prestige_score,influenced_by_popular_score,role_diversity,of_alignment,id,name,stage_name,display_name
1,2017,2017,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,1.0,Carlos Duffy,,Carlos Duffy
2,2017,2017,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,2.0,Min Qin,,Min Qin
3,2017,2017,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,0,3.0,Xiuying Xie,,Xiuying Xie
7,2013,2029,7,6,2018,2026,3,5,16,True,False,0,54,14,0.0,2,0,0.313953488372093,0,0,2,1,3,18,2,0,7.0,Xiulan Zeng,,Xiulan Zeng
8,2026,2026,2,1,,,1,,0,True,True,0,24,,0.0,2,0,0.0,0,0,1,1,2,8,2,0,8.0,David Franklin,,David Franklin
13,2020,2026,2,2,,,2,,6,True,False,0,5,,0.0,0,0,0.0,0,0,1,0,1,1,2,0,13.0,Li Yi,,Li Yi
16,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,3,0,16.0,Timothy Shea,,Timothy Shea
17,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,17.0,Philippine Colin,,Philippine Colin
19,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,19.0,Jordan Mullins,,Jordan Mullins
20,2020,2027,3,2,,,2,,7,True,False,0,12,,0.0,1,0,0.7142857142857143,0,0,3,0,3,2,1,1,20.0,Xiuying Meng,,Xiuying Meng
