Edge Type,source,target,key,source_genre,source_year,target_genre
InStyleOf,5,14332,0,Lo-Fi Electronica,2026.0,Lo-Fi Electronica
InStyleOf,5,10417,0,Lo-Fi Electronica,2026.0,Lo-Fi Electronica
InStyleOf,5,14768,0,Lo-Fi Electronica,2026.0,Lo-Fi Electronica
InStyleOf,5,9122,0,Lo-Fi Electronica,2026.0,Lo-Fi Electronica
InStyleOf,5,5928,0,Lo-Fi Electronica,2026.0,Lo-Fi Electronica
InStyleOf,26,7574,0,Speed Metal,2022.0,Speed Metal
InStyleOf,35,8364,0,Blues Rock,2007.0,Blues Rock
InStyleOf,60,13758,0,Americana,2023.0,Indie Folk
InStyleOf,106,5075,0,Blues Rock,2020.0,Blues Rock
InStyleOf,106,12091,0,Blues Rock,2020.0,Southern Gothic Rock
InStyleOf,148,13430,0,Speed Metal,2010.0,Speed Metal
InStyleOf,148,8050,0,Speed Metal,2010.0,Speed Metal
InStyleOf,169,13361,0,Avant-Garde Folk,2026.0,Blues Rock
InStyleOf,187,543,0,Indie Folk,2020.0,Doom Metal
InStyleOf,196,13324,0,Indie Folk,2017.0,Oceanus Folk
InStyleOf,210,7534,0,Darkwave,2029.0,Darkwave
InStyleOf,216,11179,0,Alternative Rock,2029.0,Southern Gothic Rock
InStyleOf,216,12494,0,Alternative Rock,2029.0,Indie Pop
InStyleOf,249,5051,0,Emo/Pop Punk,2010.0,Emo/Pop Punk
InStyleOf,258,6773,0,Dream Pop,2029.0,Indie Pop
InStyleOf,279,11446,0,Alternative Rock,2026.0,Alternative Rock
InStyleOf,283,14449,0,Dream Pop,2029.0,Psychedelic Rock
InStyleOf,321,15817,0,Space Rock,2025.0,Americana
InStyleOf,358,16445,0,Post-Apocalyptic Folk,2027.0,Dream Pop
InStyleOf,391,365,0,Dream Pop,2030.0,Indie Rock
InStyleOf,395,2440,0,Post-Apocalyptic Folk,2022.0,Dream Pop
InStyleOf,402,15622,0,Synthwave,2011.0,Doom Metal
InStyleOf,413,5051,0,Indie Pop,2013.0,Emo/Pop Punk
InStyleOf,413,11520,0,Indie Pop,2013.0,Emo/Pop Punk
InStyleOf,423,6262,0,Southern Gothic Rock,2000.0,Dream Pop
InStyleOf,445,11701,0,Psychedelic Rock,2017.0,Doom Metal
InStyleOf,461,13088,0,Americana,2027.0,Symphonic Metal
InStyleOf,467,8816,0,Post-Apocalyptic Folk,2020.0,Dream Pop
InStyleOf,467,7897,0,Post-Apocalyptic Folk,2020.0,Post-Apocalyptic Folk
InStyleOf,504,2567,0,Dream Pop,2028.0,Post-Apocalyptic Folk
InStyleOf,504,13658,0,Dream Pop,2028.0,Synthwave
InStyleOf,516,13990,0,Doom Metal,2023.0,Post-Apocalyptic Folk
InStyleOf,577,4077,0,Space Rock,2027.0,Jazz Surf Rock
InStyleOf,590,8640,0,Dream Pop,2029.0,Post-Apocalyptic Folk
InStyleOf,590,14767,0,Dream Pop,2029.0,Space Rock
InStyleOf,590,11415,0,Dream Pop,2029.0,Darkwave
InStyleOf,600,15306,0,Dream Pop,2028.0,Psychedelic Rock
InStyleOf,600,15199,0,Dream Pop,2028.0,Post-Apocalyptic Folk
InStyleOf,611,7567,0,Indie Folk,2014.0,Dream Pop
InStyleOf,611,6368,0,Indie Folk,2014.0,Synthwave
InStyleOf,625,1608,0,Indie Folk,2023.0,Indie Folk
InStyleOf,625,2614,0,Indie Folk,2023.0,Dream Pop
InStyleOf,625,11298,0,Indie Folk,2023.0,Indie Pop
InStyleOf,632,16162,0,Alternative Rock,2012.0,Emo/Pop Punk
InStyleOf,683,10055,0,Jazz Surf Rock,2025.0,Dream Pop
InStyleOf,683,5216,0,Jazz Surf Rock,2025.0,Jazz Surf Rock
InStyleOf,705,13523,0,Alternative Rock,2020.0,Alternative Rock
InStyleOf,720,9709,0,Oceanus Folk,2023.0,Oceanus Folk
InStyleOf,757,6994,0,Oceanus Folk,2023.0,Oceanus Folk
InStyleOf,766,16512,0,Psychedelic Rock,2017.0,Americana
InStyleOf,773,4415,0,Indie Folk,2022.0,Doom Metal
InStyleOf,773,15766,0,Indie Folk,2022.0,Indie Folk
InStyleOf,773,11256,0,Indie Folk,2022.0,Doom Metal
InStyleOf,799,10909,0,Space Rock,2024.0,Dream Pop
InStyleOf,810,13321,0,Space Rock,2028.0,Psychedelic Rock
InStyleOf,810,14223,0,Space Rock,2028.0,Psychedelic Rock
InStyleOf,827,11327,0,Lo-Fi Electronica,2006.0,Lo-Fi Electronica
InStyleOf,842,5307,0,Doom Metal,2023.0,Doom Metal
InStyleOf,842,13341,0,Doom Metal,2023.0,Doom Metal
InStyleOf,846,10361,0,Doom Metal,2017.0,Post-Apocalyptic Folk
InStyleOf,852,10530,0,Space Rock,2028.0,Indie Folk
InStyleOf,876,1857,0,Indie Rock,2010.0,Indie Rock
InStyleOf,892,6006,0,Desert Rock,2020.0,Doom Metal
InStyleOf,901,10016,0,Space Rock,2029.0,Symphonic Metal
InStyleOf,906,4136,0,Dream Pop,2029.0,Darkwave
InStyleOf,917,15298,0,Psychedelic Rock,2017.0,Dream Pop
InStyleOf,917,9962,0,Psychedelic Rock,2017.0,Doom Metal
InStyleOf,917,7435,0,Psychedelic Rock,2017.0,Psychedelic Rock
InStyleOf,922,9641,0,Jazz Surf Rock,2026.0,Alternative Rock
InStyleOf,925,16485,0,Indie Folk,2027.0,Dream Pop
InStyleOf,940,4781,0,Lo-Fi Electronica,2028.0,Lo-Fi Electronica
InStyleOf,940,2277,0,Lo-Fi Electronica,2028.0,Lo-Fi Electronica
InStyleOf,940,966,0,Lo-Fi Electronica,2028.0,Lo-Fi Electronica
InStyleOf,945,15622,0,Doom Metal,2017.0,Doom Metal
InStyleOf,962,6006,0,Indie Folk,2013.0,Doom Metal
InStyleOf,970,15040,0,Alternative Rock,2022.0,Indie Pop
InStyleOf,970,14961,0,Alternative Rock,2022.0,Synthwave
InStyleOf,974,9884,0,Psychedelic Rock,2023.0,Psychedelic Rock
InStyleOf,974,12515,0,Psychedelic Rock,2023.0,Psychedelic Rock
InStyleOf,985,15966,0,Dream Pop,2025.0,Southern Gothic Rock
InStyleOf,1051,6587,0,Dream Pop,2010.0,Indie Rock
InStyleOf,1057,7116,0,Indie Folk,2019.0,Doom Metal
InStyleOf,1057,10673,0,Indie Folk,2019.0,Doom Metal
InStyleOf,1069,3025,0,Synthwave,2026.0,Oceanus Folk
InStyleOf,1080,11608,0,Post-Apocalyptic Folk,2029.0,Americana
InStyleOf,1080,8823,0,Post-Apocalyptic Folk,2029.0,Space Rock
InStyleOf,1080,3993,0,Post-Apocalyptic Folk,2029.0,Dream Pop
InStyleOf,1091,6006,0,Space Rock,2026.0,Doom Metal
InStyleOf,1096,5232,0,Emo/Pop Punk,2019.0,Emo/Pop Punk
InStyleOf,1096,11240,0,Emo/Pop Punk,2019.0,Emo/Pop Punk
InStyleOf,1101,2615,0,Avant-Garde Folk,1995.0,Southern Gothic Rock
InStyleOf,1140,12517,0,Lo-Fi Electronica,2018.0,Lo-Fi Electronica
InStyleOf,1140,14768,0,Lo-Fi Electronica,2018.0,Lo-Fi Electronica
InStyleOf,1140,14512,0,Lo-Fi Electronica,2018.0,Lo-Fi Electronica
InStyleOf,1140,966,0,Lo-Fi Electronica,2018.0,Lo-Fi Electronica
InStyleOf,1140,13335,0,Lo-Fi Electronica,2018.0,Lo-Fi Electronica
InStyleOf,1156,3692,0,Synthwave,2022.0,Synthwave
InStyleOf,1156,6177,0,Synthwave,2022.0,Americana
InStyleOf,1190,12947,0,Alternative Rock,2032.0,Blues Rock
InStyleOf,1208,14136,0,Space Rock,2028.0,Doom Metal
InStyleOf,1208,10550,0,Space Rock,2028.0,Doom Metal
InStyleOf,1208,13019,0,Space Rock,2028.0,Synthwave
InStyleOf,1208,13574,0,Space Rock,2028.0,Synthwave
InStyleOf,1221,7266,0,Dream Pop,2029.0,Dream Pop
InStyleOf,1236,15206,0,Doom Metal,2013.0,Doom Metal
InStyleOf,1253,3025,0,Oceanus Folk,2022.0,Oceanus Folk
InStyleOf,1286,3310,0,Dream Pop,2027.0,Dream Pop
InStyleOf,1293,12475,0,Southern Gothic Rock,2009.0,Southern Gothic Rock
InStyleOf,1298,12389,0,Dream Pop,2026.0,Space Rock
InStyleOf,1307,1884,0,Psychedelic Rock,2020.0,Doom Metal
InStyleOf,1310,15998,0,Jazz Surf Rock,2029.0,Alternative Rock
InStyleOf,1310,9143,0,Jazz Surf Rock,2029.0,Indie Folk
InStyleOf,1313,1841,0,Synthwave,2029.0,Indie Folk
InStyleOf,1313,6417,0,Synthwave,2029.0,Oceanus Folk
InStyleOf,1333,9754,0,Jazz Surf Rock,2010.0,Jazz Surf Rock
InStyleOf,1350,933,0,Dream Pop,2007.0,Dream Pop
InStyleOf,1358,7278,0,Dream Pop,2027.0,Synthwave
InStyleOf,1358,11526,0,Dream Pop,2027.0,Psychedelic Rock
InStyleOf,1364,4583,0,Speed Metal,2003.0,Speed Metal
InStyleOf,1370,9007,0,Doom Metal,2013.0,Doom Metal
InStyleOf,1370,10358,0,Doom Metal,2013.0,Doom Metal
InStyleOf,1375,9388,0,Synthwave,1990.0,Doom Metal
InStyleOf,1388,7026,0,Indie Folk,1989.0,Americana
InStyleOf,1402,6006,0,Indie Folk,2029.0,Doom Metal
InStyleOf,1402,15622,0,Indie Folk,2029.0,Doom Metal
InStyleOf,1407,15198,0,Desert Rock,2023.0,Dream Pop
InStyleOf,1411,11298,0,Southern Gothic Rock,2013.0,Indie Pop
InStyleOf,1411,12475,0,Southern Gothic Rock,2013.0,Southern Gothic Rock
InStyleOf,1411,3349,0,Southern Gothic Rock,2013.0,Indie Pop
InStyleOf,1411,11368,0,Southern Gothic Rock,2013.0,Southern Gothic Rock
InStyleOf,1411,1772,0,Southern Gothic Rock,2013.0,Southern Gothic Rock
InStyleOf,1466,12517,0,Lo-Fi Electronica,2015.0,Lo-Fi Electronica
InStyleOf,1483,11141,0,Psychedelic Rock,2027.0,Psychedelic Rock
InStyleOf,1483,13480,0,Psychedelic Rock,2027.0,Synthwave
InStyleOf,1489,16457,0,Oceanus Folk,2023.0,Oceanus Folk
InStyleOf,1515,7395,0,Doom Metal,2029.0,Synthwave
InStyleOf,1539,3596,0,Indie Pop,2019.0,Avant-Garde Folk
InStyleOf,1544,485,0,Southern Gothic Rock,2007.0,Southern Gothic Rock
InStyleOf,1571,16719,0,Indie Rock,2026.0,Psychedelic Rock
InStyleOf,1571,11230,0,Indie Rock,2026.0,Psychedelic Rock
InStyleOf,1571,7517,0,Indie Rock,2026.0,Indie Rock
InStyleOf,1571,8516,0,Indie Rock,2026.0,Psychedelic Rock
InStyleOf,1571,7450,0,Indie Rock,2026.0,Doom Metal
InStyleOf,1596,3743,0,Indie Pop,2005.0,Southern Gothic Rock
InStyleOf,1605,12089,0,Synthwave,2000.0,Jazz Surf Rock
InStyleOf,1629,15754,0,Desert Rock,2023.0,Indie Folk
InStyleOf,1635,7947,0,Synthpop,2026.0,Indie Folk
InStyleOf,1652,3323,0,Synthwave,2027.0,Doom Metal
InStyleOf,1652,16048,0,Synthwave,2027.0,Dream Pop
InStyleOf,1680,13568,0,Space Rock,2027.0,Indie Rock
InStyleOf,1680,14830,0,Space Rock,2027.0,Dream Pop
InStyleOf,1693,10252,0,Psychedelic Rock,2025.0,Indie Folk
InStyleOf,1709,10673,0,Synthwave,2026.0,Doom Metal
InStyleOf,1715,10281,0,Dream Pop,2029.0,Synthwave
InStyleOf,1715,14057,0,Dream Pop,2029.0,Synthwave
InStyleOf,1715,12204,0,Dream Pop,2029.0,Symphonic Metal
InStyleOf,1772,1293,0,Southern Gothic Rock,2010.0,Southern Gothic Rock
InStyleOf,1772,11368,0,Southern Gothic Rock,2010.0,Southern Gothic Rock
InStyleOf,1773,13713,0,Darkwave,2030.0,Darkwave
InStyleOf,1773,14987,0,Darkwave,2030.0,Doom Metal
InStyleOf,1797,9378,0,Americana,2028.0,Psychedelic Rock
InStyleOf,1804,13421,0,Indie Folk,2013.0,Dream Pop
InStyleOf,1804,10402,0,Indie Folk,2013.0,Alternative Rock
InStyleOf,1804,15734,0,Indie Folk,2013.0,Alternative Rock
InStyleOf,1807,5689,0,Emo/Pop Punk,2009.0,Emo/Pop Punk
InStyleOf,1813,16030,0,Indie Rock,2023.0,Doom Metal
InStyleOf,1814,3349,0,Southern Gothic Rock,2006.0,Indie Pop
InStyleOf,1823,1841,0,Oceanus Folk,2029.0,Indie Folk
InStyleOf,1823,15441,0,Oceanus Folk,2029.0,Oceanus Folk
InStyleOf,1823,8153,0,Oceanus Folk,2029.0,Oceanus Folk
InStyleOf,1849,9116,0,Indie Folk,2027.0,Doom Metal
InStyleOf,1853,1018,0,Avant-Garde Folk,2011.0,Alternative Rock
