collaborator_id,collaborator_name,first_collab_year,work_id,work_name,release_year,genre,notable,work_type,collab_role,pre_post
16958,Zane Cruz,2031.0,16961,Neon Heartbeat,2031.0,Synthwave,False,Album,LyricistOf,After
16958,Zane Cruz,2031.0,16962,Cosmic Lullabies,2035.0,Synthwave,True,Album,LyricistOf,After
16959,Iris Moon,2031.0,16961,Neon Heartbeat,2031.0,Synthwave,False,Album,ComposerOf,After
16959,Iris Moon,2031.0,16962,Cosmic Lullabies,2035.0,Synthwave,True,Album,ComposerOf,After
16983,Sophie Bennett,2033.0,16988,Songs from the Drowned World,2035.0,Oceanus Folk,True,Album,ComposerOf,After
16983,Sophie Bennett,2033.0,16989,Ballads for the End of Time,2033.0,Oceanus Folk,True,Album,ComposerOf,After
16984,Michael Harris,2033.0,16988,Songs from the Drowned World,2035.0,Oceanus Folk,True,Album,LyricistOf,After
16984,Michael Harris,2033.0,16989,Ballads for the End of Time,2033.0,Oceanus Folk,True,Album,LyricistOf,After
16985,Kara Lee,2033.0,16988,Songs from the Drowned World,2035.0,Oceanus Folk,True,Album,LyricistOf,After
16985,Kara Lee,2033.0,16989,Ballads for the End of Time,2033.0,Oceanus Folk,True,Album,LyricistOf,After
16986,Ethan Clarke,2033.0,16988,Songs from the Drowned World,2035.0,Oceanus Folk,True,Album,ComposerOf,After
16986,Ethan Clarke,2033.0,16989,Ballads for the End of Time,2033.0,Oceanus Folk,True,Album,ComposerOf,After
16993,Olivia Carter,2033.0,16997,Rust & Ruin,2030.0,Americana,False,Album,ComposerOf,Before
16993,Olivia Carter,2033.0,16998,Glitches in the Rain,2035.0,Americana,False,Album,ComposerOf,After
16993,Olivia Carter,2033.0,16999,Melancholy Circuitry,2033.0,Americana,True,Album,ComposerOf,After
16994,Lucas Bennett,2033.0,16997,Rust & Ruin,2030.0,Americana,False,Album,ComposerOf,Before
16994,Lucas Bennett,2033.0,16998,Glitches in the Rain,2035.0,Americana,False,Album,ComposerOf,After
16994,Lucas Bennett,2033.0,16999,Melancholy Circuitry,2033.0,Americana,True,Album,ComposerOf,After
16995,Maya Torres,2033.0,16997,Rust & Ruin,2030.0,Americana,False,Album,ComposerOf,Before
