influence_type,sailor_work_id,influencing_work_id,key,sailor_work_name,sailor_work_year,sailor_work_genre,sailor_work_notable,influencing_work_name,influencing_work_year,influencing_work_genre,creator_id,creator_name,creator_role
CoverOf,16999,14893,0,Melancholy Circuitry,2033.0,Americana,True,Twilight's Threshold,2007.0,Synthwave,1335,Ming Long,PerformerOf
CoverOf,16999,14893,0,Melancholy Circuitry,2033.0,Americana,True,Twilight's Threshold,2007.0,Synthwave,1335,Ming Long,ProducerOf
CoverOf,16999,14893,0,Melancholy Circuitry,2033.0,Americana,True,Twilight's Threshold,2007.0,Synthwave,1336,Yong Lu,LyricistOf
CoverOf,16999,14893,0,Melancholy Circuitry,2033.0,Americana,True,Twilight's Threshold,2007.0,Synthwave,14894,Kimberly Estrada,PerformerOf
CoverOf,16999,14893,0,Melancholy Circuitry,2033.0,Americana,True,Twilight's Threshold,2007.0,Synthwave,14895,Fang Ding,PerformerOf
InStyleOf,17049,14107,0,Electric Reverie,2038.0,Oceanus Folk,True,Folklore's Heartbeat,2020.0,Blues Rock,12948,Brooke Olson,PerformerOf
InStyleOf,17049,14107,0,Electric Reverie,2038.0,Oceanus Folk,True,Folklore's Heartbeat,2020.0,Blues Rock,14108,Tao Hu,ComposerOf
InStyleOf,17049,14107,0,Electric Reverie,2038.0,Oceanus Folk,True,Folklore's Heartbeat,2020.0,Blues Rock,14108,Tao Hu,PerformerOf
InterpolatesFrom,17049,7026,0,Electric Reverie,2038.0,Oceanus Folk,True,Reflejo Interior,1983.0,Americana,7027,Sheryl Roman,PerformerOf
InterpolatesFrom,17049,7026,0,Electric Reverie,2038.0,Oceanus Folk,True,Reflejo Interior,1983.0,Americana,7028,John Graves,ComposerOf
InterpolatesFrom,17049,7026,0,Electric Reverie,2038.0,Oceanus Folk,True,Reflejo Interior,1983.0,Americana,7029,Jason Aguirre,PerformerOf
InterpolatesFrom,17049,7026,0,Electric Reverie,2038.0,Oceanus Folk,True,Reflejo Interior,1983.0,Americana,7030,Matthew Lane,ProducerOf
InterpolatesFrom,17231,14352,0,Tides of Echos,2029.0,Oceanus Folk,True,Weathered Miles,2023.0,Doom Metal,14353,Debra Graham,ComposerOf
InterpolatesFrom,17231,14352,0,Tides of Echos,2029.0,Oceanus Folk,True,Weathered Miles,2023.0,Doom Metal,14353,Debra Graham,PerformerOf
