artist_id,debut_year,latest_year,total_works,notable_works,first_notoriety,last_notoriety,genre_diversity,notoriety_lag,career_span,is_performer,is_recent_debut,recent_notable_works,outbound_influence,years_since_notoriety,notoriety_recency_score,collab_with_popular_count,recent_collab_count,collab_growth_rate,recent_inbound_influence,genre_alignment_score,prestige_label_count,prestige_group_count,prestige_score,influenced_by_popular_score,role_diversity,of_genre_works,of_influence_edges,of_alignment,id,name,stage_name,display_name,was_in_group,was_in_high_influence_group,group_name,group_prestige,group_inbound_influence,group_notable_works
1,2017,2017,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,1,0,1,1.0,Carlos Duffy,,Carlos Duffy,False,False,None,0,0,0
2,2017,2017,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,1,0,1,2.0,Min Qin,,Min Qin,False,False,None,0,0,0
3,2017,2017,1,1,,,1,,0,True,False,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,1,1,0,1,3.0,Xiuying Xie,,Xiuying Xie,False,False,None,0,0,0
7,2013,2029,7,6,2018.0,2026.0,3,5.0,16,True,False,0,54,14.0,0.0,2,0,0.313953488372093,0,0,2,1,3,18,2,0,0,0,7.0,Xiulan Zeng,,Xiulan Zeng,True,False,Green Haze Collective,1,0,1
8,2026,2026,2,1,,,1,,0,True,True,0,24,,0.0,2,0,0.0,0,0,1,1,2,8,2,0,0,0,8.0,David Franklin,,David Franklin,True,False,Green Haze Collective,1,0,1
13,2020,2026,2,2,,,2,,6,True,False,0,5,,0.0,0,0,0.0,0,0,1,0,1,1,2,0,0,0,13.0,Li Yi,,Li Yi,False,False,None,0,0,0
16,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,3,0,0,0,16.0,Timothy Shea,,Timothy Shea,False,False,None,0,0,0
17,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,0,0,17.0,Philippine Colin,,Philippine Colin,False,False,None,0,0,0
19,2027,2027,1,0,,,1,,0,True,True,0,1,,0.0,0,0,0.0,0,0,1,0,1,0,2,0,0,0,19.0,Jordan Mullins,,Jordan Mullins,False,False,None,0,0,0
20,2020,2027,3,2,,,2,,7,True,False,0,12,,0.0,1,0,0.7142857142857143,0,0,3,0,3,2,1,0,1,1,20.0,Xiuying Meng,,Xiuying Meng,False,False,None,0,0,0
27,2022,2022,1,1,,,1,,0,True,False,0,5,,0.0,2,0,0.0,0,0,2,0,2,1,3,0,0,0,27.0,Anatol Dietz,The Hollow Lantern,The Hollow Lantern,False,False,None,0,0,0
28,2022,2022,1,1,,,1,,0,True,False,0,5,,0.0,2,0,0.0,0,0,2,0,2,1,1,0,0,0,28.0,Tracy Simpson,,Tracy Simpson,False,False,None,0,0,0
29,2005,2022,7,7,2010.0,2010.0,1,5.0,17,True,False,0,25,30.0,0.0,7,0,0.8184873949579832,0,0,6,0,6,6,1,0,0,0,29.0,Lorraine Martinez,,Lorraine Martinez,False,False,None,0,0,0
30,1985,2030,15,15,1995.0,2010.0,4,10.0,45,True,False,1,31,30.0,0.0,5,0,0.4910473519577175,0,0,4,0,4,6,3,0,0,0,30.0,Megan Bennett,,Megan Bennett,False,False,None,0,0,0
