artist_id,release_date,new_collabs,cumulative_collabs,id,name,stage_name,display_name
1,2017.0,2,2,1.0,Carlos Duffy,,Carlos Duffy
2,2017.0,2,2,2.0,Min Qin,,Min Qin
3,2017.0,2,2,3.0,Xiuying Xie,,Xiuying Xie
7,2013.0,3,3,7.0,Xiulan Zeng,,Xiulan Zeng
7,2018.0,1,4,7.0,Xiulan Zeng,,Xiulan Zeng
7,2026.0,3,7,7.0,Xiulan Zeng,,Xiulan Zeng
8,2026.0,3,3,8.0,David Franklin,,David Franklin
13,2026.0,3,3,13.0,Li Yi,,Li Yi
16,2027.0,3,3,16.0,Timothy Shea,,Timothy Shea
17,2027.0,3,3,17.0,Philippine Colin,,Philippine Colin
19,2027.0,3,3,19.0,Jordan Mullins,,Jordan Mullins
20,2020.0,2,2,20.0,Xiuying Meng,,Xiuying Meng
20,2027.0,5,7,20.0,Xiuying Meng,,Xiuying Meng
27,2022.0,3,3,27.0,Anatol Dietz,The Hollow Lantern,The Hollow Lantern
28,2022.0,3,3,28.0,Tracy Simpson,,Tracy Simpson
29,2006.0,2,2,29.0,Lorraine Martinez,,Lorraine Martinez
29,2009.0,4,6,29.0,Lorraine Martinez,,Lorraine Martinez
29,2010.0,8,14,29.0,Lorraine Martinez,,Lorraine Martinez
29,2022.0,3,17,29.0,Lorraine Martinez,,Lorraine Martinez
30,1987.0,1,1,30.0,Megan Bennett,,Megan Bennett
30,1995.0,1,2,30.0,Megan Bennett,,Megan Bennett
30,1996.0,3,5,30.0,Megan Bennett,,Megan Bennett
30,1998.0,3,8,30.0,Megan Bennett,,Megan Bennett
30,2010.0,5,13,30.0,Megan Bennett,,Megan Bennett
30,2020.0,2,15,30.0,Megan Bennett,,Megan Bennett
30,2022.0,3,18,30.0,Megan Bennett,,Megan Bennett
30,2028.0,3,21,30.0,Megan Bennett,,Megan Bennett
30,2030.0,1,22,30.0,Megan Bennett,,Megan Bennett
40,2013.0,4,4,40.0,Na Dong,,Na Dong
43,2029.0,5,5,43.0,James Taylor,,James Taylor
44,2029.0,5,5,44.0,Jennifer Smith,,Jennifer Smith
45,2029.0,5,5,45.0,Kyle Anderson,,Kyle Anderson
50,2017.0,2,2,50.0,Tao Zeng,,Tao Zeng
51,2017.0,2,2,51.0,Guiying Qin,,Guiying Qin
52,2017.0,2,2,52.0,Na Guo,,Na Guo
52,2018.0,3,5,52.0,Na Guo,,Na Guo
52,2026.0,6,11,52.0,Na Guo,,Na Guo
55,1996.0,2,2,55.0,Miki Hasegawa,,Miki Hasegawa
55,2003.0,1,3,55.0,Miki Hasegawa,,Miki Hasegawa
56,1996.0,2,2,56.0,Asuka Takahashi,,Asuka Takahashi
56,2003.0,1,3,56.0,Asuka Takahashi,,Asuka Takahashi
57,1996.0,2,2,57.0,Miki Miura,,Miki Miura
63,2023.0,4,4,63.0,Min Qiao,,Min Qiao
64,2023.0,4,4,64.0,April Morris,,April Morris
65,2020.0,8,8,65.0,Sara Parker,,Sara Parker
65,2023.0,7,15,65.0,Sara Parker,,Sara Parker
66,2023.0,4,4,66.0,Gang Su,,Gang Su
67,2013.0,7,7,67.0,Guiying Pan,,Guiying Pan
67,2017.0,5,12,67.0,Guiying Pan,,Guiying Pan
67,2023.0,4,16,67.0,Guiying Pan,,Guiying Pan
72,2017.0,4,4,72.0,Amy Mejia,,Amy Mejia
73,2017.0,4,4,73.0,Yang Pan,,Yang Pan
74,2010.0,4,4,74.0,Min Hu,,Min Hu
74,2017.0,4,8,74.0,Min Hu,,Min Hu
74,2025.0,4,12,74.0,Min Hu,,Min Hu
74,2029.0,3,15,74.0,Min Hu,,Min Hu
75,1999.0,4,4,75.0,Juan Feng,,Juan Feng
75,2017.0,7,11,75.0,Juan Feng,,Juan Feng
76,2000.0,4,4,76.0,Ming Ren,,Ming Ren
76,2007.0,4,8,76.0,Ming Ren,,Ming Ren
76,2017.0,4,12,76.0,Ming Ren,,Ming Ren
76,2023.0,6,18,76.0,Ming Ren,,Ming Ren
82,1996.0,1,1,82.0,Min Ye,,Min Ye
82,1997.0,1,2,82.0,Min Ye,,Min Ye
82,2010.0,1,3,82.0,Min Ye,,Min Ye
82,2025.0,2,5,82.0,Min Ye,,Min Ye
83,1996.0,1,1,83.0,Loretta Roberts,,Loretta Roberts
83,2010.0,1,2,83.0,Loretta Roberts,,Loretta Roberts
83,2025.0,2,4,83.0,Loretta Roberts,,Loretta Roberts
87,2013.0,2,2,87.0,Jun Gu,,Jun Gu
87,2017.0,4,6,87.0,Jun Gu,,Jun Gu
89,2013.0,2,2,89.0,Xiuying Dong,,Xiuying Dong
90,2013.0,2,2,90.0,Xiulan Li,,Xiulan Li
90,2017.0,4,6,90.0,Xiulan Li,,Xiulan Li
90,2029.0,4,10,90.0,Xiulan Li,,Xiulan Li
93,2023.0,5,5,93.0,Jun Fan,,Jun Fan
93,2024.0,4,9,93.0,Jun Fan,,Jun Fan
94,2023.0,5,5,94.0,Yan Yuan,,Yan Yuan
95,2023.0,5,5,95.0,Diana Johnson,,Diana Johnson
97,2023.0,5,5,97.0,Lei Zhou,,Lei Zhou
98,2023.0,5,5,98.0,Yong Yu,,Yong Yu
98,2024.0,4,9,98.0,Yong Yu,,Yong Yu
99,1994.0,2,2,99.0,Miki Hayashi,,Miki Hayashi
99,2013.0,5,7,99.0,Miki Hayashi,,Miki Hayashi
99,2017.0,3,10,99.0,Miki Hayashi,,Miki Hayashi
99,2019.0,3,13,99.0,Miki Hayashi,,Miki Hayashi
99,2023.0,5,18,99.0,Miki Hayashi,,Miki Hayashi
99,2029.0,7,25,99.0,Miki Hayashi,,Miki Hayashi
103,1997.0,3,3,103.0,Cristina Marenzio,,Cristina Marenzio
107,2020.0,2,2,107.0,Pompeo Turchi,,Pompeo Turchi
107,2027.0,4,6,107.0,Pompeo Turchi,,Pompeo Turchi
108,2020.0,2,2,108.0,Brandon Vasquez,,Brandon Vasquez
108,2023.0,3,5,108.0,Brandon Vasquez,,Brandon Vasquez
