id,Node Type,name,single,release_date,genre,notable,written_date,stage_name,notoriety_date
16744,MusicalGroup,Quattro Voci,,,,,,,
16745,MusicalGroup,Sonic Renegade,,,,,,,
16746,MusicalGroup,Arctic Scholars,,,,,,,
16747,MusicalGroup,The Wandering Pulse,,,,,,,
16748,MusicalGroup,Ochre,,,,,,,
16749,MusicalGroup,Radical Syntax,,,,,,,
16750,MusicalGroup,Zenith Horizon,,,,,,,
16751,MusicalGroup,Nordic Kitchen Collective,,,,,,,
16752,MusicalGroup,Verdant Pulse,,,,,,,
16753,MusicalGroup,Crimson Theorem,,,,,,,
16754,MusicalGroup,Nordic Echo,,,,,,,
16755,MusicalGroup,Interval Shift,,,,,,,
16756,MusicalGroup,Triassic Collective,,,,,,,
16757,MusicalGroup,Artisans of Rhythm,,,,,,,
16758,MusicalGroup,Joker's Smile,,,,,,,
16759,MusicalGroup,Jam & Honey,,,,,,,
16760,MusicalGroup,Fiesta Nocturna,,,,,,,
16761,MusicalGroup,Neon Horizon,,,,,,,
16762,MusicalGroup,SideShift,,,,,,,
16763,MusicalGroup,Martial Harmonies,,,,,,,
16764,MusicalGroup,Burrowing Rodent,,,,,,,
16765,MusicalGroup,Renegade Harmony,,,,,,,
16766,MusicalGroup,Synaptic Collapse,,,,,,,
16767,MusicalGroup,Whispers & Echoes,,,,,,,
16768,MusicalGroup,Liquid Vortex,,,,,,,
16769,MusicalGroup,Blueprints,,,,,,,
16770,MusicalGroup,Lunar Syntax,,,,,,,
16771,MusicalGroup,Undetected,,,,,,,
16772,MusicalGroup,Silver Seraph,,,,,,,
16773,MusicalGroup,Midnight Recursion,,,,,,,
16774,MusicalGroup,Echoes of Arcadia,,,,,,,
16775,MusicalGroup,Starseed,,,,,,,
16776,MusicalGroup,Archipelago,,,,,,,
16777,MusicalGroup,Luna Spark,,,,,,,
16778,MusicalGroup,Buzz Collective,,,,,,,
16779,MusicalGroup,Syncopated Symphony Collective,,,,,,,
16780,MusicalGroup,Midnight Harvest,,,,,,,
16781,MusicalGroup,Sovereign Elect,,,,,,,
16782,MusicalGroup,Primal Rhythm,,,,,,,
16783,MusicalGroup,Encrucijada,,,,,,,
16784,MusicalGroup,The Cedar Lane Collective,,,,,,,
16785,MusicalGroup,Midnight Prism,,,,,,,
16786,MusicalGroup,Nomadic Resonance,,,,,,,
16787,MusicalGroup,Ascendant,,,,,,,
16788,MusicalGroup,Shared Secrets,,,,,,,
16789,MusicalGroup,The Chaotic Realm of Elliot Flame,,,,,,,
16790,MusicalGroup,Collettivo Moderno,,,,,,,
16791,MusicalGroup,Operatic Insurgence,,,,,,,
16792,MusicalGroup,Civic Ensemble,,,,,,,
16793,MusicalGroup,Snout Noise,,,,,,,
16794,MusicalGroup,Prisma Flux,,,,,,,
16795,MusicalGroup,Twilight Riders,,,,,,,
16796,MusicalGroup,Liquid Prism,,,,,,,
16797,MusicalGroup,Loro,,,,,,,
16798,MusicalGroup,Hex Collective,,,,,,,
16799,MusicalGroup,Crossroads & Cipher,,,,,,,
16800,MusicalGroup,Lunar Echo,,,,,,,
16801,MusicalGroup,Luminescence,,,,,,,
16802,MusicalGroup,Cosmic Drift,,,,,,,
16803,MusicalGroup,Coastal Horizon,,,,,,,
16804,MusicalGroup,Mutual Orbit,,,,,,,
16805,MusicalGroup,Pulse Collective,,,,,,,
16806,MusicalGroup,The Omega Collective,,,,,,,
16807,MusicalGroup,Narrow Passages,,,,,,,
16808,MusicalGroup,Final Order,,,,,,,
16809,MusicalGroup,Razor's Lament,,,,,,,
16810,MusicalGroup,Peripheral Circuit,,,,,,,
16811,MusicalGroup,Preset Protocol,,,,,,,
16812,MusicalGroup,Spectral Junk,,,,,,,
16813,MusicalGroup,The Seekers,,,,,,,
16814,MusicalGroup,Sonic Pulse,,,,,,,
16815,MusicalGroup,Sync Shift,,,,,,,
16816,MusicalGroup,Psycho Twang,,,,,,,
16817,MusicalGroup,Sonora Flux,,,,,,,
16818,MusicalGroup,The Feast,,,,,,,
16819,MusicalGroup,Electric Novella,,,,,,,
16820,MusicalGroup,Melodic Mischief,,,,,,,
16821,MusicalGroup,Celestial Ink,,,,,,,
16822,MusicalGroup,Rhythm Brothers,,,,,,,
16823,MusicalGroup,Ursus,,,,,,,
16824,MusicalGroup,Brass Horizon Ensemble,,,,,,,
16825,MusicalGroup,Neon Pulse,,,,,,,
16826,MusicalGroup,The Three Drafts,,,,,,,
16827,MusicalGroup,Harmonic Collective,,,,,,,
16828,MusicalGroup,Voltage Veil,,,,,,,
16829,MusicalGroup,Lunar Pulse,,,,,,,
16830,MusicalGroup,Klok en Snaar,,,,,,,
16831,MusicalGroup,Intermezzo Collective,,,,,,,
16832,MusicalGroup,Whisper the Thistles,,,,,,,
16833,MusicalGroup,Whispered Strings,,,,,,,
16834,MusicalGroup,Moonlit Avenue,,,,,,,
16835,MusicalGroup,The Rhythm Rascals,,,,,,,
16836,MusicalGroup,Terra Nova,,,,,,,
16837,MusicalGroup,Mineral Breath Asphalt,,,,,,,
16838,MusicalGroup,Borderlands,,,,,,,
16839,MusicalGroup,Whispered Embers,,,,,,,
16840,MusicalGroup,Surveillance,,,,,,,
16841,MusicalGroup,Phantom Syntax,,,,,,,
16842,MusicalGroup,Midnight Feather,,,,,,,
16843,MusicalGroup,Immortal Spark,,,,,,,
16844,MusicalGroup,Lueur,,,,,,,
16845,MusicalGroup,Bureaucracy,,,,,,,
16846,MusicalGroup,The Forgotten Archives,,,,,,,
16847,MusicalGroup,Celestial Horizon,,,,,,,
16848,MusicalGroup,Blazing Collective,,,,,,,
16849,MusicalGroup,Velvet Rogue,,,,,,,
16850,MusicalGroup,Silent Horizon,,,,,,,
16851,MusicalGroup,Kinship Harmony,,,,,,,
16852,MusicalGroup,Sonic Disintegration Protocol,,,,,,,
16853,MusicalGroup,Stormens Sång,,,,,,,
16854,MusicalGroup,Knarren,,,,,,,
16855,MusicalGroup,Velvet Prism,,,,,,,
16856,MusicalGroup,Parallel Static,,,,,,,
16857,MusicalGroup,Lunar Drift,,,,,,,
16858,MusicalGroup,Subtle Noise,,,,,,,
16859,MusicalGroup,Glide,,,,,,,
16860,MusicalGroup,Sly Notion,,,,,,,
16861,MusicalGroup,Cosmic Sankey,,,,,,,
16862,MusicalGroup,Operatic Pulse,,,,,,,
16863,MusicalGroup,Restless Verse,,,,,,,
16864,MusicalGroup,Nocturnal Drifters,,,,,,,
16865,MusicalGroup,Rusty Anvil,,,,,,,
16866,MusicalGroup,Whisper Cascade,,,,,,,
16867,MusicalGroup,Velvet Haze,,,,,,,
16868,MusicalGroup,Stormheart,,,,,,,
16869,MusicalGroup,Electric Twist,,,,,,,
16870,MusicalGroup,Luminous Fracture,,,,,,,
16871,MusicalGroup,Midnight Protocol,,,,,,,
16872,MusicalGroup,Collective Conscience,,,,,,,
16873,MusicalGroup,Animated Antics,,,,,,,
16874,MusicalGroup,Split Persona,,,,,,,
16875,MusicalGroup,Subterranean Whispers,,,,,,,
16876,MusicalGroup,Moral Friction,,,,,,,
16877,MusicalGroup,Misfit Bistro,,,,,,,
16878,MusicalGroup,Quantum Sonic Architects,,,,,,,
16879,MusicalGroup,Nordisk Resonans,,,,,,,
16880,MusicalGroup,Talvikierros,,,,,,,
16881,MusicalGroup,Green Haze Collective,,,,,,,
16882,MusicalGroup,Rebel Scream,,,,,,,
16883,MusicalGroup,Fixx'd,,,,,,,
16884,MusicalGroup,Balkan Prisms,,,,,,,
16885,MusicalGroup,Diaspora Rising,,,,,,,
