id,Node Type,name,single,release_date,genre,notable,written_date,stage_name,notoriety_date,in_degree,out_degree
1,Person,Carlos Duffy,,,,,,,,0,2
2,Person,Min Qin,,,,,,,,0,2
3,Person,Xiuying Xie,,,,,,,,0,1
6,Person,Luke Payne,,,,,,,,0,1
7,Person,Xiulan Zeng,,,,,,,,0,12
8,Person,David Franklin,,,,,,,,0,4
11,Person,Gang Long,,,,,,,,0,3
12,Person,Yong Yi,,,,,,,,0,2
13,Person,Li Yi,,,,,,,,0,4
16,Person,Timothy Shea,,,,,,,,0,3
17,Person,Philippine Colin,,,,,,,,0,2
18,Person,Connor Juarez,,,,,,,,0,1
19,Person,Jordan Mullins,,,,,,,,0,2
20,Person,Xiuying Meng,,,,,,,,0,3
27,Person,Anatol Dietz,,,,,,The Hollow Lantern,,0,4
28,Person,Tracy Simpson,,,,,,,,0,1
29,Person,Lorraine Martinez,,,,,,,,0,9
30,Person,Megan Bennett,,,,,,,,0,33
36,Person,Alexis Church,,,,,,,,0,1
37,Person,Hansh Ramanathan,,,,,,,,0,4
40,Person,Na Dong,,,,,,,,0,5
43,Person,James Taylor,,,,,,,,0,6
44,Person,Jennifer Smith,,,,,,,,0,2
45,Person,Kyle Anderson,,,,,,,,0,2
49,Person,Xia Yang,,,,,,,,0,1
50,Person,Tao Zeng,,,,,,,,0,2
51,Person,Guiying Qin,,,,,,,,0,1
52,Person,Na Guo,,,,,,,,0,6
55,Person,Miki Hasegawa,,,,,,,,0,2
56,Person,Asuka Takahashi,,,,,,,,0,6
57,Person,Miki Miura,,,,,,,,0,2
61,Person,Mitchell Hernandez,,,,,,,,0,1
62,Person,Christopher Harris,,,,,,,,0,1
63,Person,Min Qiao,,,,,,,,0,1
64,Person,April Morris,,,,,,,,0,1
65,Person,Sara Parker,,,,,,,,0,6
66,Person,Gang Su,,,,,,,,0,1
67,Person,Guiying Pan,,,,,,,,0,6
72,Person,Amy Mejia,,,,,,,,0,2
73,Person,Yang Pan,,,,,,,,0,1
74,Person,Min Hu,,,,,,,,0,8
75,Person,Juan Feng,,,,,,,,0,7
76,Person,Ming Ren,,,,,,,,0,6
82,Person,Min Ye,,,,,,,,0,7
83,Person,Loretta Roberts,,,,,,,,0,5
87,Person,Jun Gu,,,,,,,,0,2
88,Person,Yan Feng,,,,,,,,0,1
89,Person,Xiuying Dong,,,,,,,,0,3
90,Person,Xiulan Li,,,,,,,,0,7
93,Person,Jun Fan,,,,,,,,0,3
94,Person,Yan Yuan,,,,,,,,0,1
95,Person,Diana Johnson,,,,,,,,0,1
96,Person,Tammy Washington,,,,,,,,0,1
97,Person,Lei Zhou,,,,,,,,0,1
98,Person,Yong Yu,,,,,,,,0,3
99,Person,Miki Hayashi,,,,,,,,0,8
103,Person,Cristina Marenzio,,,,,,,,0,2
104,Person,Enzio Caffarelli,,,,,,,,0,2
107,Person,Pompeo Turchi,,,,,,,,0,5
108,Person,Brandon Vasquez,,,,,,,,0,6
109,Person,Audrey-Camille Nicolas,,,,,,,,0,10
113,Person,Fang Zhong,,,,,,,,0,3
114,Person,Jie Long,,,,,,,,0,3
115,Person,Ping Meng,,,,,,,,0,19
116,Person,Wei Ye,,,,,,,,0,3
122,Person,Sabina Hrušková,,,,,,,,0,1
123,Person,Naděžda Pešková,,,,,,,,0,1
124,Person,Michal Žák,,,,,,,,0,1
125,Person,Miluše Dušková,,,,,,,,0,1
126,Person,Miloš Pokorný,,,,,,,,0,5
129,Person,Kim Gonzalez,,,,,, Ray Phoenix,,0,1
130,Person,Yang Gu,,,,,,,,0,1
131,Person,Li Lin,,,,,,,,0,1
132,Person,Jie Yu,,,,,,,,0,1
133,Person,Juan Luo,,,,,,,,0,1
134,Person,Steven Cordova,,,,,,,,0,1
135,Person,Xia Chang,,,,,,,,0,1
136,Person,Fang Kong,,,,,,,,0,1
140,Person,Min Pan,,,,,,Oblivion Rhapsody,,0,1
141,Person,Xia Wu,,,,,,,,0,15
142,Person,Wei Tang,,,,,,,,0,9
145,Person,Adrien Charles,,,,,,,,0,6
146,Person,Na Tang,,,,,,,,0,2
147,Person,Na Qian,,,,,,,,0,5
149,Person,Xia Fu,,,,,,,,0,9
150,Person,Li Luo,,,,,,,,0,16
151,Person,Gang Zhao,,,,,,,,0,13
156,Person,Andrzej Schottin-Mühle,,,,,,,,0,2
157,Person,Daria Boucsein,,,,,,,,0,2
158,Person,Orhan Krein,,,,,,,,0,3
159,Person,Ashley Waters,,,,,,,,0,1
160,Person,Hans-Theo Eckbauer-Dehmel,,,,,,,,0,3
161,Person,Sophia Baracca-Solimena,,,,,,,,0,2
162,Person,Mia Carsten,,,,,,,,0,8
163,Person,Regina Hesse,,,,,,,,0,18
170,Person,Chao Yu,,,,,,,,0,5
171,Person,Chao Qiao,,,,,,,,0,3
172,Person,Lei Liao,,,,,,,,0,14
177,Person,Jie Yan,,,,,,,,0,1
178,Person,Li Mo,,,,,,,,0,4
