id,Node Type,name,single,release_date,genre,notable,written_date,stage_name,notoriety_date
4,RecordLabel,Nautical Mile Records,,,,,,,
9,RecordLabel,Colline-Cascade Studios,,,,,,,
14,RecordLabel,Ipecac Echo,,,,,,,
21,RecordLabel,Plenaod Groove,,,,,,,
22,RecordLabel,Crimson Echo,,,,,,,
23,RecordLabel,Montfort Melodies,,,,,,,
24,RecordLabel,Echo Chamber Studios | ECS,,,,,,,
25,RecordLabel,Elysian Soundworks,,,,,,,
31,RecordLabel,Galil Groove,,,,,,,
32,RecordLabel,Collective Harmony,,,,,,,
33,RecordLabel,Ascend Audio,,,,,,,
34,RecordLabel,Nexus Sonic,,,,,,,
38,RecordLabel,Roccastrada,,,,,,,
41,RecordLabel,Pulse Wave Music,,,,,,,
46,RecordLabel,Echo Vault Records,,,,,,,
47,RecordLabel,Verdant Verse,,,,,,,
53,RecordLabel,Univalle Groove,,,,,,,
58,RecordLabel,Verdant Echo Recordings,,,,,,,
59,RecordLabel,Crystalline Echo,,,,,,,
68,RecordLabel,Heidewerken Records,,,,,,,
69,RecordLabel,Calende Sound,,,,,,,
70,RecordLabel,Basilique Sonore,,,,,,,
77,RecordLabel,Esche Sounds,,,,,,,
78,RecordLabel,Sonic Marsala,,,,,,,
79,RecordLabel,Mucambo Groove,,,,,,,
80,RecordLabel,Ridge Echo Records,,,,,,,
84,RecordLabel,Botha Recordings,,,,,,,
85,RecordLabel,Placard Records,,,,,,,
91,RecordLabel,Verdant Groove,,,,,,,
100,RecordLabel,Nixon's Archive,,,,,,,
101,RecordLabel,Tangerine Pulse,,,,,,,
105,RecordLabel,Meridian Sound Studios,,,,,,,
110,RecordLabel,Northern Horizon,,,,,,,
111,RecordLabel,Aura Pulse,,,,,,,
117,RecordLabel,Epoch Resonance Records,,,,,,,
118,RecordLabel,Periáñez Pulse,,,,,,,
119,RecordLabel,Eye of the Record,,,,,,,
120,RecordLabel,Cue Script Recordings,,,,,,,
127,RecordLabel,Real Rhythm,,,,,,,
137,RecordLabel,Pascoli Sonoro,,,,,,,
138,RecordLabel,Adriatic Resonance,,,,,,,
143,RecordLabel,Radiant Echo,,,,,,,
152,RecordLabel,Genius Wave,,,,,,,
153,RecordLabel,Ember Crescent,,,,,,,
154,RecordLabel,Coastal Cadence,,,,,,,
164,RecordLabel,Vives Sonores,,,,,,,
165,RecordLabel,Nový Zvuk,,,,,,,
166,RecordLabel,Hidrossonica,,,,,,,
167,RecordLabel,Novan Sound,,,,,,,
168,RecordLabel,Cascata Sound,,,,,,,
173,RecordLabel,Blue Bayou Sound,,,,,,,
174,RecordLabel,Echo Chamber Records,,,,,,,
175,RecordLabel,Lantern Cascade Records,,,,,,,
181,RecordLabel,Sierra Rubio Sounds,,,,,,,
186,RecordLabel,Spanish Harmony,,,,,,,
191,RecordLabel,Republic Records,,,,,,,
195,RecordLabel,Howling Squash Productions,,,,,,,
208,RecordLabel,Twilight Passage,,,,,,,
209,RecordLabel,Charleville Sound,,,,,,,
218,RecordLabel,Kamiogawa Rhythms,,,,,,,
224,RecordLabel,Vizinada Vinyl,,,,,,,
231,RecordLabel,Divine Harmony Studios,,,,,,,
232,RecordLabel,Garenne Sound,,,,,,,
237,RecordLabel,Mi'kmaq Rhythms,,,,,,,
238,RecordLabel,Arrondissement Records,,,,,,,
244,RecordLabel,Inflected,,,,,,,
245,RecordLabel,Harmony of Hope Recordings,,,,,,,
