id,Node Type,name,single,release_date,genre,notable,written_date,stage_name,notoriety_date
35,Album,Sober Streets,,2007,Blues Rock,True,,,
71,Album,Forgotten Incantation,,2017,Indie Folk,True,,,
155,Album,Tales Without Words,,2010,Indie Folk,True,,,2010
169,Album,Whispers of Spring's Memory,,2026,Avant-Garde Folk,True,,,
239,Album,"Radiant Morning, Endless Delight",,2015,Dream Pop,True,2015,,
264,Album,Brilliant Beyond Measure,,2018,Dream Pop,True,,,
279,Album,Constant Heart,,2026,Alternative Rock,True,,,2026
312,Album,Borderless Pride,,2007,Synthwave,True,,,
339,Album,Whispers of a Thousand Moons,,2027,Southern Gothic Rock,True,2027,,2027
344,Album,Echoes from the Distant Years,,2013,Indie Rock,True,2013,,
431,Album,Cobblestone Waltz,,2000,Americana,True,,,
445,Album,Twilight at Saint-Genevieve,,2017,Psychedelic Rock,True,2017,,
473,Album,The Maker's Symphony,,2027,Synthwave,True,,,2027
482,Album,"Thawing Hearts, Blooming Dreams",,2004,Dream Pop,True,2004,,
510,Album,Endless Rhythm Ride,,2028,Alternative Rock,True,,,
533,Album,Rough Schematic,,2023,Dream Pop,True,2020,,
577,Album,Roadmap to Your Heart,,2027,Space Rock,True,2027,,
597,Album,Fragments of Daylight,,2025,Jazz Surf Rock,True,2025,,
636,Album,"Oh, Steven",,1999,Synthwave,True,,,
642,Album,Whispers to Steven,,2010,Darkwave,True,2010,,
653,Album,Dear Steven (Before You Know),,2023,Psychedelic Rock,True,,,2023
662,Album,Waiting for Steven,,2028,Indie Folk,True,2021,,
683,Album,Whispers of a Father's Heart,,2025,Jazz Surf Rock,True,,,2025
690,Album,Lullaby of Generations,,1994,Alternative Rock,True,,,
713,Album,Sleepwalker's Anthem,,2027,Dream Pop,True,,,
736,Album,Unbound,,2026,Doom Metal,True,,,
802,Album,Whispers in the Embrace,,2000,Indie Rock,True,,,2000
810,Album,Silence Between Heartbeats,,2028,Space Rock,True,2028,,2028
830,Album,Just You Wait and See,,2024,Psychedelic Rock,True,,,
833,Album,Someday Never Comes,,2010,Indie Rock,True,,,
866,Album,Uncut Treasure,,2024,Doom Metal,True,2024,,
880,Album,Unapologetic Heart,,2000,Emo/Pop Punk,False,2000,,
892,Album,Shadows of Masculinity,,2020,Desert Rock,True,,,
917,Album,Shifting Horizons,,2017,Psychedelic Rock,True,,,
922,Album,Metamorphosis Protocol,,2026,Jazz Surf Rock,True,2026,,
951,Album,Emociones en Color (Emotions in Color),,2025,Dream Pop,True,,,
988,Album,Between Yes and No,,2020,Space Rock,True,,,
1012,Album,Sunset and Cigarettes,,2016,Synthpop,True,,,
1057,Album,Sutter's Mill Memories,,2019,Indie Folk,True,,,
1062,Album,Captured in Margins,,2023,Indie Folk,True,,,
1080,Album,Trapped in the Border,,2029,Post-Apocalyptic Folk,True,2026,,
1096,Album,Kan ve Toprak Arasında (Between Blood and Land),,2019,Emo/Pop Punk,True,2019,,
1101,Album,Sessiz Çığlıklar (Silent Screams),,1995,Avant-Garde Folk,True,,,
1113,Album,One More Roll,,1991,Americana,True,,,
1195,Album,The Mill Town Monarch,,2026,Dream Pop,True,2026,,
1205,Album,Lancashire's Forgotten Sovereign,,2022,Southern Gothic Rock,False,2022,,
1213,Album,Blossoming Crescendo,,1991,Dream Pop,True,,,
1221,Album,Verdant Overture,,2029,Dream Pop,True,2029,,
1244,Album,Stable Secrets at Dawn,,2009,Indie Rock,True,,,2009
1265,Album,Opinions May Vary,,2001,Lo-Fi Electronica,True,2001,,
1293,Album,Street Corner Hustle,,2009,Southern Gothic Rock,True,,,
1307,Album,Neighborhood Legends,,2020,Psychedelic Rock,True,,,
1310,Album,Alleys and Ambition,,2029,Jazz Surf Rock,True,,,
1343,Album,Permitted Shadows,,2010,Doom Metal,True,,,
1370,Album,Borderlands of Imperial Dreams,,2013,Doom Metal,True,,,
1378,Album,Flags of Borrowed Sovereignty,,2028,Psychedelic Rock,True,2028,,
1388,Album,Divine Compassion's Embrace,,1989,Indie Folk,True,,,
1402,Album,Eternal Comfort's Sigh,,2029,Indie Folk,True,,,
1407,Album,Rearview Mirror,,2023,Desert Rock,True,2023,,
1416,Album,Clean Slate,,2017,Americana,True,2013,,
1440,Album,Diabolic Dance,,2004,Blues Rock,True,2004,,2004
1461,Album,Hellbound Harmony,,1991,Dream Pop,True,1991,,1991
1588,Album,Strategic Surrender,,2029,Americana,True,,,
1608,Album,Espresso of Existence,,1999,Indie Folk,True,1996,,
1620,Album,Thoughts in a Teacup,,2026,Indie Folk,True,2026,,
1652,Album,Tusks and Mud,,2027,Synthwave,True,2027,,2027
1671,Album,Scarred Snout Serenade,,2026,Darkwave,True,,,
1689,Album,The Three Impossible Questions,,2010,Synthwave,True,2010,,
1729,Album,Midway Mirage,,2013,Dream Pop,True,,,
1773,Album,Slumber's Burden,,2030,Darkwave,True,,,
1804,Album,Midsummer Memories,,2013,Indie Folk,True,,,
1813,Album,"No Doubt, No Filter",,2023,Indie Rock,True,2023,,
1814,Album,Transparent Intentions,,2006,Southern Gothic Rock,True,,,
1817,Album,The Ballad of Billy's Bravado,,1997,Indie Rock,True,,,
1823,Album,Rebel Without a Pause,,2029,Oceanus Folk,True,,,
1859,Album,Shadows of the Minor Scale,,2017,Oceanus Folk,True,,,2017
