source,target,Edge Type,source_genre,source_year,target_genre,target_year
0,1841,InterpolatesFrom,Oceanus Folk,2017,Indie Folk,2010
5,5088,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2026
5,14332,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2020
5,11677,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2009
5,2479,LyricalReferenceTo,Lo-Fi Electronica,2026,Indie Rock,2009
5,827,CoverOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2006
5,10417,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2010
5,14768,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2005
5,13985,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2013
5,13297,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2017
5,3387,InterpolatesFrom,Lo-Fi Electronica,2026,Lo-Fi Electronica,2016
5,9122,InStyleOf,Lo-Fi Electronica,2026,,
5,8680,CoverOf,Lo-Fi Electronica,2026,,
5,5928,InStyleOf,Lo-Fi Electronica,2026,Lo-Fi Electronica,2019
10,14322,InterpolatesFrom,Indie Folk,2020,Post-Apocalyptic Folk,2013
15,16367,InterpolatesFrom,Darkwave,2027,Darkwave,2020
26,4932,LyricalReferenceTo,Speed Metal,2022,,
26,10836,LyricalReferenceTo,Speed Metal,2022,Speed Metal,2021
26,15047,LyricalReferenceTo,Speed Metal,2022,Southern Gothic Rock,1986
26,7574,InStyleOf,Speed Metal,2022,Speed Metal,1989
26,13628,DirectlySamples,Speed Metal,2022,Speed Metal,2020
35,8364,InStyleOf,,,,
48,7116,DirectlySamples,Indie Folk,2017,Doom Metal,2007
48,10673,LyricalReferenceTo,Indie Folk,2017,Doom Metal,2013
54,7713,DirectlySamples,Alternative Rock,2003,Alternative Rock,1996
60,13681,InterpolatesFrom,Americana,2023,Indie Folk,2010
60,13758,InStyleOf,Americana,2023,Indie Folk,2013
71,15899,LyricalReferenceTo,,,Indie Folk,2010
71,12515,InterpolatesFrom,,,,
86,6006,CoverOf,Americana,2013,Doom Metal,2004
92,12673,InterpolatesFrom,Americana,2023,Americana,2013
92,13681,LyricalReferenceTo,Americana,2023,Indie Folk,2010
102,5427,CoverOf,Doom Metal,2000,,
106,5075,InStyleOf,Blues Rock,2020,Blues Rock,2021
106,12091,InStyleOf,Blues Rock,2020,Southern Gothic Rock,1997
106,15275,InterpolatesFrom,Blues Rock,2020,,
106,15443,LyricalReferenceTo,Blues Rock,2020,Southern Gothic Rock,2023
121,5288,InterpolatesFrom,Indie Folk,2025,,
128,12237,DirectlySamples,Indie Rock,2026,Indie Rock,2023
128,5348,LyricalReferenceTo,Indie Rock,2026,,
139,14023,InterpolatesFrom,Speed Metal,2023,,
139,4583,LyricalReferenceTo,Speed Metal,2023,Speed Metal,1983
139,15343,LyricalReferenceTo,Speed Metal,2023,Speed Metal,1987
148,15702,InterpolatesFrom,Speed Metal,2010,Speed Metal,1985
148,4861,InterpolatesFrom,Speed Metal,2010,Speed Metal,1996
148,6227,InterpolatesFrom,Speed Metal,2010,Speed Metal,1999
148,8872,CoverOf,Speed Metal,2010,Speed Metal,1993
148,13430,InStyleOf,Speed Metal,2010,Speed Metal,1991
148,8050,InStyleOf,Speed Metal,2010,,
155,15622,CoverOf,,,Doom Metal,1997
155,6006,CoverOf,,,Doom Metal,2004
169,16035,LyricalReferenceTo,,,Avant-Garde Folk,2004
169,13361,InStyleOf,,,Blues Rock,2011
169,15838,LyricalReferenceTo,,,Avant-Garde Folk,2014
176,14989,DirectlySamples,Darkwave,2023,Indie Rock,2007
182,438,LyricalReferenceTo,Synthpop,2013,Dream Pop,2010
187,2956,InterpolatesFrom,Indie Folk,2020,Indie Folk,2008
187,543,InStyleOf,Indie Folk,2020,Doom Metal,2020
187,4046,CoverOf,Indie Folk,2020,,
196,13324,InStyleOf,Indie Folk,2017,Oceanus Folk,2004
196,6901,CoverOf,Indie Folk,2017,Indie Folk,2010
210,15529,CoverOf,Darkwave,2029,Dream Pop,2026
210,7278,InterpolatesFrom,Darkwave,2029,Synthwave,2022
210,13287,InterpolatesFrom,Darkwave,2029,Synthwave,2024
210,10928,CoverOf,Darkwave,2029,,
210,9256,CoverOf,Darkwave,2029,Symphonic Metal,2027
210,12309,LyricalReferenceTo,Darkwave,2029,Darkwave,2020
210,8640,DirectlySamples,Darkwave,2029,Post-Apocalyptic Folk,2026
210,12173,DirectlySamples,Darkwave,2029,Darkwave,2023
210,6293,DirectlySamples,Darkwave,2029,Dream Pop,2025
210,11785,DirectlySamples,Darkwave,2029,Jazz Surf Rock,2024
210,7534,InStyleOf,Darkwave,2029,Darkwave,2012
216,11179,InStyleOf,Alternative Rock,2029,,
216,12494,InStyleOf,Alternative Rock,2029,Indie Pop,2022
225,1841,CoverOf,Doom Metal,2013,Indie Folk,2010
233,15383,LyricalReferenceTo,Doom Metal,2013,Doom Metal,2007
249,10294,CoverOf,Emo/Pop Punk,2010,,
249,5051,InStyleOf,Emo/Pop Punk,2010,Emo/Pop Punk,1997
249,6315,LyricalReferenceTo,Emo/Pop Punk,2010,Emo/Pop Punk,1987
249,1955,InterpolatesFrom,Emo/Pop Punk,2010,Emo/Pop Punk,1985
249,11520,CoverOf,Emo/Pop Punk,2010,Emo/Pop Punk,2007
258,6773,InStyleOf,Dream Pop,2029,,
272,3252,DirectlySamples,Desert Rock,2017,Psychedelic Rock,2015
279,11446,InStyleOf,,,,
283,6006,CoverOf,Dream Pop,2029,Doom Metal,2004
283,14449,InStyleOf,Dream Pop,2029,,
283,8516,LyricalReferenceTo,Dream Pop,2029,Psychedelic Rock,2017
283,15419,LyricalReferenceTo,Dream Pop,2029,Psychedelic Rock,2022
292,5432,InterpolatesFrom,Dream Pop,2016,Synthwave,2004
298,14537,CoverOf,Indie Folk,2013,,
321,8307,InterpolatesFrom,Space Rock,2025,Jazz Surf Rock,2023
321,15817,InStyleOf,Space Rock,2025,Americana,2024
321,14987,InterpolatesFrom,Space Rock,2025,Doom Metal,2017
329,4378,InterpolatesFrom,Blues Rock,2025,Southern Gothic Rock,2019
329,9690,CoverOf,Blues Rock,2025,Blues Rock,2019
339,4411,CoverOf,,,,
339,15396,CoverOf,,,Avant-Garde Folk,2023
344,8888,LyricalReferenceTo,,,Indie Rock,2010
349,16048,InterpolatesFrom,Americana,2028,Dream Pop,2017
349,13751,LyricalReferenceTo,Americana,2028,Indie Folk,2020
358,14965,CoverOf,Post-Apocalyptic Folk,2027,Doom Metal,2010
358,13658,CoverOf,Post-Apocalyptic Folk,2027,Synthwave,2023
358,16445,InStyleOf,Post-Apocalyptic Folk,2027,,
358,13413,CoverOf,Post-Apocalyptic Folk,2027,Indie Folk,2022
365,14300,LyricalReferenceTo,Indie Rock,2021,Doom Metal,2009
376,15971,InterpolatesFrom,Dream Pop,2030,Indie Rock,2013
391,365,InStyleOf,Dream Pop,2030,Indie Rock,2021
391,6301,InterpolatesFrom,Dream Pop,2030,,
395,2440,InStyleOf,Post-Apocalyptic Folk,2022,,
395,11259,CoverOf,Post-Apocalyptic Folk,2022,,
402,15622,InStyleOf,Synthwave,2011,Doom Metal,1997
402,2445,CoverOf,Synthwave,2011,Doom Metal,2007
407,15622,CoverOf,Doom Metal,2017,Doom Metal,1997
413,5051,InStyleOf,Indie Pop,2013,Emo/Pop Punk,1997
413,6315,CoverOf,Indie Pop,2013,Emo/Pop Punk,1987
413,11520,InStyleOf,Indie Pop,2013,Emo/Pop Punk,2007
413,1955,LyricalReferenceTo,Indie Pop,2013,Emo/Pop Punk,1985
413,10294,CoverOf,Indie Pop,2013,,
413,8230,LyricalReferenceTo,Indie Pop,2013,Emo/Pop Punk,1989
423,6262,InStyleOf,Southern Gothic Rock,2000,Dream Pop,1992
445,11701,InStyleOf,,,,
449,3407,LyricalReferenceTo,Southern Gothic Rock,2004,Southern Gothic Rock,1987
461,3337,InterpolatesFrom,Americana,2027,Indie Folk,2017
461,13088,InStyleOf,Americana,2027,Symphonic Metal,2026
467,8816,InStyleOf,Post-Apocalyptic Folk,2020,Dream Pop,2012
467,7897,InStyleOf,Post-Apocalyptic Folk,2020,Post-Apocalyptic Folk,2014
473,7663,CoverOf,,,,
473,6006,LyricalReferenceTo,,,Doom Metal,2004
473,13216,InterpolatesFrom,,,Desert Rock,2025
478,13543,LyricalReferenceTo,Speed Metal,2018,,
478,16724,InterpolatesFrom,Speed Metal,2018,Speed Metal,2000
482,3766,InterpolatesFrom,,,Dream Pop,1992
491,6770,LyricalReferenceTo,Dream Pop,2029,Americana,2025
491,349,DirectlySamples,Dream Pop,2029,Americana,2028
497,14994,LyricalReferenceTo,Indie Folk,2000,Indie Folk,1997
504,2567,InStyleOf,Dream Pop,2028,Post-Apocalyptic Folk,2022
504,13658,InStyleOf,Dream Pop,2028,Synthwave,2023
510,8888,DirectlySamples,,,Indie Rock,2010
516,13990,InStyleOf,Doom Metal,2023,Post-Apocalyptic Folk,2012
533,12389,CoverOf,,,Space Rock,2017
558,6250,CoverOf,Alternative Rock,2027,Southern Gothic Rock,2017
