source,target,Edge Type
7,16881,MemberOf
8,16881,MemberOf
67,16839,MemberOf
82,16800,MemberOf
83,16800,MemberOf
90,16816,MemberOf
99,16890,MemberOf
107,16875,MemberOf
109,16875,MemberOf
149,16756,MemberOf
150,16756,MemberOf
162,16894,MemberOf
190,16767,MemberOf
221,16834,MemberOf
222,16833,MemberOf
223,16834,MemberOf
236,16749,MemberOf
296,16861,MemberOf
303,16813,MemberOf
355,16770,MemberOf
440,16765,MemberOf
441,16765,MemberOf
442,16765,MemberOf
443,16765,MemberOf
455,16790,MemberOf
456,16790,MemberOf
545,16806,MemberOf
546,16806,MemberOf
559,16914,MemberOf
560,16914,MemberOf
561,16914,MemberOf
562,16914,MemberOf
564,16927,MemberOf
566,16927,MemberOf
567,16927,MemberOf
594,16899,MemberOf
612,16835,MemberOf
614,16835,MemberOf
627,16779,MemberOf
628,16779,MemberOf
633,16886,MemberOf
634,16886,MemberOf
676,16770,MemberOf
678,16770,MemberOf
707,16845,MemberOf
767,16839,MemberOf
768,16839,MemberOf
769,16839,MemberOf
844,16767,MemberOf
872,16858,MemberOf
873,16858,MemberOf
878,16746,MemberOf
882,16754,MemberOf
883,16754,MemberOf
941,16933,MemberOf
943,16933,MemberOf
967,16846,MemberOf
968,16846,MemberOf
987,16845,MemberOf
1052,16836,MemberOf
1053,16836,MemberOf
1066,16860,MemberOf
1079,16926,MemberOf
1084,16803,MemberOf
1086,16803,MemberOf
1089,16801,MemberOf
1090,16801,MemberOf
1093,16876,MemberOf
1094,16876,MemberOf
1103,16757,MemberOf
1141,16889,MemberOf
1142,16889,MemberOf
1143,16889,MemberOf
1180,16753,MemberOf
1182,16753,MemberOf
1197,16751,MemberOf
1198,16751,MemberOf
1200,16751,MemberOf
1202,16751,MemberOf
1219,16808,MemberOf
1220,16807,MemberOf
1261,16904,MemberOf
1263,16904,MemberOf
1270,16773,MemberOf
1273,16773,MemberOf
1275,16773,MemberOf
1276,16760,MemberOf
1277,16793,MemberOf
1335,16910,MemberOf
1336,16910,MemberOf
1346,16772,MemberOf
1347,16772,MemberOf
1348,16772,MemberOf
1437,16753,MemberOf
1438,16753,MemberOf
1441,16810,MemberOf
1442,16810,MemberOf
1444,16818,MemberOf
1445,16818,MemberOf
1474,16832,MemberOf
1490,16797,MemberOf
1491,16797,MemberOf
1492,16797,MemberOf
1493,16797,MemberOf
1494,16797,MemberOf
1497,16813,MemberOf
1534,16781,MemberOf
1535,16781,MemberOf
1541,16843,MemberOf
1575,16936,MemberOf
1579,16936,MemberOf
1612,16764,MemberOf
1614,16764,MemberOf
1615,16764,MemberOf
1662,16761,MemberOf
1664,16761,MemberOf
1716,16745,MemberOf
1718,16745,MemberOf
1719,16745,MemberOf
1743,16793,MemberOf
1774,16930,MemberOf
1775,16930,MemberOf
1777,16930,MemberOf
1778,16930,MemberOf
1815,16786,MemberOf
1816,16786,MemberOf
1818,16932,MemberOf
1820,16932,MemberOf
1858,16746,MemberOf
1881,16826,MemberOf
1882,16826,MemberOf
1912,16840,MemberOf
1918,16745,MemberOf
1928,16850,MemberOf
1929,16850,MemberOf
1992,16812,MemberOf
1993,16812,MemberOf
1994,16812,MemberOf
1995,16812,MemberOf
2004,16755,MemberOf
2006,16755,MemberOf
2045,16882,MemberOf
2069,16744,MemberOf
