id,Node Type,name,single,release_date,genre,notable,written_date,stage_name,notoriety_date
0,Song,Breaking These Chains,True,2017,Oceanus Folk,True,,,
5,Song,Unshackled Heart,False,2026,Lo-Fi Electronica,True,,,
10,Song,No Limits Left,True,2020,Indie Folk,True,2020,,
15,Song,Sovereign Soul,True,2027,Darkwave,False,,,
26,Song,"Clean Lungs, Clear Mind",False,2022,Speed Metal,True,,,
39,Song,Healthier Than Yesterday,True,2010,Indie Folk,True,,,
42,Song,Midnight Clarity,True,2020,Synthwave,True,,,
48,Song,Arcane Whispers,False,2017,Indie Folk,True,,,
54,Song,Starlight's Sorcerer,True,2003,Alternative Rock,True,2003,,
60,Song,Runes and Riddles,True,2023,Americana,True,,,
81,Song,Elektronische Schritte Mit Italienern,True,1997,Indie Pop,True,,,
86,Song,Retro-Rhythmen Der 80er,True,2013,Americana,True,2013,,
92,Song,Synth-Pop Tanz Explosion,True,2023,Americana,True,,,2023
102,Song,Neon Nacht Bewegung,True,2000,Doom Metal,True,2000,,
106,Song,Borderless Horizons,True,2020,Blues Rock,True,,,
112,Song,Cartographic Dreams,True,2007,Lo-Fi Electronica,True,,,
121,Song,Invisible Lines,True,2025,Indie Folk,True,2025,,
128,Song,Sovereign Echoes,True,2026,Indie Rock,True,2026,,
139,Song,Whispers from the Rocking Chair,True,2023,Speed Metal,True,,,2023
144,Song,Echoes of Forgotten Memories,True,2020,Indie Folk,True,,,
148,Song,Grandfather's Faded Photographs,True,2010,Speed Metal,True,2010,,
176,Song,Faded Ribbons and Childhood Dreams,True,2023,Darkwave,True,,,
182,Song,The Last Bloom of Innocence,True,2013,Synthpop,True,2013,,
187,Song,Echoes of a Springtime Past,True,2020,Indie Folk,True,,,
192,Song,Bright Horizon,True,2013,Americana,True,,,
196,Song,Radiant Dreams,True,2017,Indie Folk,True,,,
200,Song,Light My Way,True,2017,Indie Folk,True,,,
210,Song,Luminous Path,True,2029,Darkwave,True,,,2029
216,Song,Spurs and Wedding Rings,True,2029,Alternative Rock,True,,,
219,Song,"Lasso My Heart, Cowboy",True,1997,Dream Pop,True,,,
225,Song,Rodeo Romance,True,2013,Doom Metal,True,,,
233,Song,"Boots, Dust, and True Love",True,2013,Doom Metal,False,,,
249,Song,Sunbeams of Joy Cascading,True,2010,Emo/Pop Punk,True,,,
258,Song,When Happiness Breaks Through,True,2029,Dream Pop,True,2029,,
272,Song,Undying Affection,True,2017,Desert Rock,True,2017,,
283,Song,Unbreakable Bond,True,2029,Dream Pop,True,,,2029
292,Song,Eternal Flame,True,2016,Dream Pop,True,2016,,
298,Song,Roots and Horizons,True,2013,Indie Folk,True,,,
308,Song,Heartland Anthem,True,2014,Dream Pop,True,2014,,
321,Song,Soil of My Soul,False,2025,Space Rock,True,2019,,
329,Song,Decade's Melody of Memories,True,2025,Blues Rock,True,,,
349,Song,Rhythms of a Lingering Love,True,2028,Americana,True,2028,,
358,Song,Endless Horizon,False,2027,Post-Apocalyptic Folk,True,,,2027
365,Song,Footprints Beyond Tomorrow,True,2021,Indie Rock,True,2021,,
371,Song,Wandering Without End,True,2017,Synthwave,True,,,
376,Song,Infinite Pathway,False,2030,Dream Pop,True,,,
382,Song,Last Call at the Goodbye Cafe,True,2027,Dream Pop,True,2027,,
391,Song,Espresso Farewell,True,2030,Dream Pop,True,,,
395,Song,Broken Mugs and Memories,True,2022,Post-Apocalyptic Folk,True,,,
402,Song,The Final Brew,True,2011,Synthwave,True,,,
407,Song,Scorched Lineage,True,2017,Doom Metal,True,2017,,
413,Song,Embers of Inheritance,True,2013,Indie Pop,True,2013,,
419,Song,Crimson Birthright,True,1994,Doom Metal,True,,,
423,Song,Flames of Descent,True,2000,Southern Gothic Rock,True,,,
438,Song,Parisian Shadows on the Hill,True,2010,Dream Pop,True,,,2010
449,Song,Dancing Stones of Memory,True,2004,Southern Gothic Rock,True,,,
